connector,organisation_1,organisation_2,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
ruth richardson,frontier centre for public policy,ecipe,unconvinced of agw,canada,north america,,belgium,europe,1,1
ruth richardson,frontier centre for public policy,mont pelerin society,unconvinced of agw,canada,north america,,global,global,1,1
ruth richardson,ecipe,mont pelerin society,,belgium,europe,,global,global,1,1
ryan c. amacher,institute for policy innovation,committee on taxation and economic growth,unconvinced of agw,usa,north america,,usa,north america,0,0
ryan c. amacher,institute for policy innovation,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
ryan c. amacher,committee on taxation and economic growth,tobacco institute,,usa,north america,,usa,north america,0,0
ryan stowers,association of private enterprise education,bill of rights institute,,usa,north america,,usa,north america,0,0
s. fred singer,doctors for disaster preparedness,"environmental conservation organization, inc.",unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,doctors for disaster preparedness,freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,doctors for disaster preparedness,national center for public policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,doctors for disaster preparedness,virginia scientists and engineers for energy and environment,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,doctors for disaster preparedness,american council on science and health,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,doctors for disaster preparedness,international center for a scientific ecology,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
s. fred singer,"environmental conservation organization, inc.",freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,"environmental conservation organization, inc.",national center for public policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,"environmental conservation organization, inc.",virginia scientists and engineers for energy and environment,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,"environmental conservation organization, inc.",american council on science and health,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,"environmental conservation organization, inc.",international center for a scientific ecology,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
s. fred singer,freedom21,national center for public policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,freedom21,virginia scientists and engineers for energy and environment,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,freedom21,american council on science and health,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,freedom21,international center for a scientific ecology,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
s. fred singer,national center for public policy research,virginia scientists and engineers for energy and environment,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,national center for public policy research,american council on science and health,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,national center for public policy research,international center for a scientific ecology,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
s. fred singer,virginia scientists and engineers for energy and environment,american council on science and health,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
s. fred singer,virginia scientists and engineers for energy and environment,international center for a scientific ecology,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
s. fred singer,american council on science and health,international center for a scientific ecology,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
s. robert lichter,center for media and public affairs,statistical assessment service,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
sallie baliunas,doctors for disaster preparedness,greening earth society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
sallie baliunas,doctors for disaster preparedness,manhattan institute for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
sallie baliunas,doctors for disaster preparedness,friends of science,unconvinced of agw,usa,north america,unconvinced of agw,canada,north america,1,0
sallie baliunas,doctors for disaster preparedness,scientific alliance,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
sallie baliunas,greening earth society,manhattan institute for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
sallie baliunas,greening earth society,friends of science,unconvinced of agw,usa,north america,unconvinced of agw,canada,north america,1,0
sallie baliunas,greening earth society,scientific alliance,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
sallie baliunas,manhattan institute for policy research,friends of science,unconvinced of agw,usa,north america,unconvinced of agw,canada,north america,1,0
sallie baliunas,manhattan institute for policy research,scientific alliance,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
sallie baliunas,friends of science,scientific alliance,unconvinced of agw,canada,north america,unconvinced of agw,uk,europe,1,1
sallie l. baliunas,statistical assessment service,scientific alliance,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
sam staley,virginia institute for public policy,montana policy institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
samuel gregg,institute of economic affairs,fundacion burke,unconvinced of agw,uk,europe,,spain,europe,1,0
sander boon,european independent institute,frederic bastiat stichting,,netherlands,europe,,netherlands,europe,0,0
sarah basden,mannkal economic foundation,mannkal economic research foundation,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
sascha tamm,antibuerokratieteam.net,berlin manhattan institut für unternehmerische freiheit e.v.,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,0,0
scott o. lilienfeld,american council on science and health,statistical assessment service,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
sean gabb,the libertarian alliance,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
shelby steele,center of the american experiment,national association of scholars,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
sheldon richman,foundation for economic education,center for a stateless society,unconvinced of agw,usa,north america,,usa,north america,0,0
sherwood idso,doctors for disaster preparedness,institute for biospheric research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
sidney shindell,american council on science and health,sound science in public policy,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,1,1
simon clark,the free society,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
sir,institute of economic affairs,scientific alliance,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
staff,american legislative exchange council,citizens alliance for responsible energy,unconvinced of agw,usa,north america,,usa,north america,0,0
staff,american legislative exchange council,istituto bruno leoni,unconvinced of agw,usa,north america,unconvinced of agw,italy,europe,1,1
staff,american legislative exchange council,clingendael institute,unconvinced of agw,usa,north america,,netherlands,europe,1,1
staff,citizens alliance for responsible energy,istituto bruno leoni,,usa,north america,unconvinced of agw,italy,europe,1,1
staff,citizens alliance for responsible energy,clingendael institute,,usa,north america,,netherlands,europe,1,1
staff,istituto bruno leoni,clingendael institute,unconvinced of agw,italy,europe,,netherlands,europe,1,0
stanley rothman,national association of scholars,american council on science and health,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
starbuck,philadelphia society,liberty fund,unconvinced of agw,usa,north america,,usa,north america,0,0
steffen hentrich,berlin manhattan institut für unternehmerische freiheit e.v.,friedrich-naumann-stiftung für die freiheit,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,0,0
steffen hentrich,berlin manhattan institut für unternehmerische freiheit e.v.,libertäre plattform,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,0,0
steffen hentrich,friedrich-naumann-stiftung für die freiheit,libertäre plattform,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,0,0
stephan kinsella,ludwig von mises institute,the property and freedom society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
stephan kinsella,ludwig von mises institute,center for a stateless society,unconvinced of agw,usa,north america,,usa,north america,0,0
stephan kinsella,the property and freedom society,center for a stateless society,unconvinced of agw,usa,north america,,usa,north america,0,0
stephan thernstrom,manhattan institute for policy research,national association of scholars,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
stephen blank,macdonald-laurier institute,atlantic institute for market studies,unconvinced of agw,canada,north america,,canada,north america,0,0
stephen davies,institute for humane studies,institute of economic affairs,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
stephen davies,institute for humane studies,the libertarian alliance,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
stephen davies,institute for humane studies,institute for economic studies,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
stephen davies,institute for humane studies,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,usa,north america,,uk,europe,1,1
stephen davies,institute of economic affairs,the libertarian alliance,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
stephen davies,institute of economic affairs,institute for economic studies,unconvinced of agw,uk,europe,unconvinced of agw,france,europe,1,0
stephen davies,institute of economic affairs,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
stephen davies,the libertarian alliance,institute for economic studies,unconvinced of agw,uk,europe,unconvinced of agw,france,europe,1,0
stephen davies,the libertarian alliance,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
stephen davies,institute for economic studies,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,france,europe,,uk,europe,1,0
stephen j. entin,institute for global economic growth,institute for policy innovation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
stephen j. entin,institute for global economic growth,institute for research on the economics of taxation,unconvinced of agw,usa,north america,,usa,north america,0,0
stephen j. entin,institute for policy innovation,institute for research on the economics of taxation,unconvinced of agw,usa,north america,,usa,north america,0,0
stephen moore,american legislative exchange council,goldwater institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
stephen moore,american legislative exchange council,institute for policy innovation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
stephen moore,american legislative exchange council,niskanen center,unconvinced of agw,usa,north america,convinced of agw,usa,north america,0,0
stephen moore,goldwater institute,institute for policy innovation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
stephen moore,goldwater institute,niskanen center,unconvinced of agw,usa,north america,convinced of agw,usa,north america,0,0
stephen moore,institute for policy innovation,niskanen center,unconvinced of agw,usa,north america,convinced of agw,usa,north america,0,0
stephen p. halbrook,ludwig von mises institute,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
stephen pollard,center for medicine in the public interest,civitas,unconvinced of agw,usa,north america,,uk,europe,1,1
stephen pollard,center for medicine in the public interest,economic policy centre,unconvinced of agw,usa,north america,,uk,europe,1,1
stephen pollard,civitas,economic policy centre,,uk,europe,,uk,europe,0,0
steve forbes,freedomworks,national taxpayers union,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steve goreham,climate science coalition of america,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steve hanke,ludwig von mises institute,institut turgot,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
steve milloy,american tradition institute,global climate science communications team,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steve milloy,american tradition institute,the energy environment legal institute,unconvinced of agw,usa,north america,,usa,north america,0,0
steve milloy,global climate science communications team,the energy environment legal institute,unconvinced of agw,usa,north america,,usa,north america,0,0
steven baker,the cobden centre,liberty league,unconvinced of agw,uk,europe,,uk,europe,0,0
steven f. hayward,ashbrook center for public affairs,center of the american experiment,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,ashbrook center for public affairs,claremont institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,ashbrook center for public affairs,insitute for energy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,ashbrook center for public affairs,philadelphia society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,ashbrook center for public affairs,property and environment research center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,ashbrook center for public affairs,national tax limitation committee,unconvinced of agw,usa,north america,,usa,north america,0,0
steven f. hayward,ashbrook center for public affairs,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
steven f. hayward,ashbrook center for public affairs,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
steven f. hayward,center of the american experiment,claremont institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,center of the american experiment,insitute for energy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,center of the american experiment,philadelphia society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,center of the american experiment,property and environment research center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,center of the american experiment,national tax limitation committee,unconvinced of agw,usa,north america,,usa,north america,0,0
steven f. hayward,center of the american experiment,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
steven f. hayward,center of the american experiment,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
steven f. hayward,claremont institute,insitute for energy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,claremont institute,philadelphia society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,claremont institute,property and environment research center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,claremont institute,national tax limitation committee,unconvinced of agw,usa,north america,,usa,north america,0,0
steven f. hayward,claremont institute,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
steven f. hayward,claremont institute,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
steven f. hayward,insitute for energy research,philadelphia society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,insitute for energy research,property and environment research center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,insitute for energy research,national tax limitation committee,unconvinced of agw,usa,north america,,usa,north america,0,0
steven f. hayward,insitute for energy research,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
steven f. hayward,insitute for energy research,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
steven f. hayward,philadelphia society,property and environment research center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven f. hayward,philadelphia society,national tax limitation committee,unconvinced of agw,usa,north america,,usa,north america,0,0
steven f. hayward,philadelphia society,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
steven f. hayward,philadelphia society,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
steven f. hayward,property and environment research center,national tax limitation committee,unconvinced of agw,usa,north america,,usa,north america,0,0
steven f. hayward,property and environment research center,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
steven f. hayward,property and environment research center,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
steven f. hayward,national tax limitation committee,icrei,,usa,north america,,switzerland,europe,1,1
steven f. hayward,national tax limitation committee,mont pelerin society,,usa,north america,,global,global,1,1
steven f. hayward,icrei,mont pelerin society,,switzerland,europe,,global,global,1,1
steven milloy,american environmental coalition,doctors for disaster preparedness,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven milloy,american environmental coalition,free enterprise action fund,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
steven milloy,doctors for disaster preparedness,free enterprise action fund,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
stop gillards,australian libertarian society,conservative action network,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
stop gillards,australian libertarian society,conservative leadership foundation,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
stop gillards,australian libertarian society,mannkal economic research foundation,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
stop gillards,australian libertarian society,consumers taxpayers association,unconvinced of agw,australia,oceania,,australia,oceania,0,0
stop gillards,australian libertarian society,institute for private enterprise,unconvinced of agw,australia,oceania,unconvinced of agw,australia,unknown,0,1
stop gillards,conservative action network,conservative leadership foundation,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
stop gillards,conservative action network,mannkal economic research foundation,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
stop gillards,conservative action network,consumers taxpayers association,unconvinced of agw,australia,oceania,,australia,oceania,0,0
stop gillards,conservative action network,institute for private enterprise,unconvinced of agw,australia,oceania,unconvinced of agw,australia,unknown,0,1
stop gillards,conservative leadership foundation,mannkal economic research foundation,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
stop gillards,conservative leadership foundation,consumers taxpayers association,unconvinced of agw,australia,oceania,,australia,oceania,0,0
stop gillards,conservative leadership foundation,institute for private enterprise,unconvinced of agw,australia,oceania,unconvinced of agw,australia,unknown,0,1
stop gillards,mannkal economic research foundation,consumers taxpayers association,unconvinced of agw,australia,oceania,,australia,oceania,0,0
stop gillards,mannkal economic research foundation,institute for private enterprise,unconvinced of agw,australia,oceania,unconvinced of agw,australia,unknown,0,1
stop gillards,consumers taxpayers association,institute for private enterprise,,australia,oceania,unconvinced of agw,australia,unknown,0,1
stuart wheeler,bruges group,the freedom association,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
sven larson,illinois policy institute,wyoming liberty group,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
t. kenneth cribb,council for national policy,defenders of property rights,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
t. kenneth cribb,council for national policy,philadelphia society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
t. kenneth cribb,council for national policy,foundation for individual rights in education,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,council for national policy,americans future foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,council for national policy,russell kirk center for cultural renewal,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,council for national policy,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,defenders of property rights,philadelphia society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
t. kenneth cribb,defenders of property rights,foundation for individual rights in education,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,defenders of property rights,americans future foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,defenders of property rights,russell kirk center for cultural renewal,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,defenders of property rights,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,philadelphia society,foundation for individual rights in education,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,philadelphia society,americans future foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,philadelphia society,russell kirk center for cultural renewal,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,philadelphia society,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
t. kenneth cribb,foundation for individual rights in education,americans future foundation,,usa,north america,,usa,north america,0,0
t. kenneth cribb,foundation for individual rights in education,russell kirk center for cultural renewal,,usa,north america,,usa,north america,0,0
t. kenneth cribb,foundation for individual rights in education,young americas foundation,,usa,north america,,usa,north america,0,0
t. kenneth cribb,americans future foundation,russell kirk center for cultural renewal,,usa,north america,,usa,north america,0,0
t. kenneth cribb,americans future foundation,young americas foundation,,usa,north america,,usa,north america,0,0
t. kenneth cribb,russell kirk center for cultural renewal,young americas foundation,,usa,north america,,usa,north america,0,0
terry arthur,ludwig von mises institute,institute of economic affairs,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
terry l. anderson,instituto de libre empresa,property and environment research center,unconvinced of agw,peru,south america,unconvinced of agw,usa,north america,1,1
terry l. anderson,instituto de libre empresa,tobacco institute,unconvinced of agw,peru,south america,,usa,north america,1,1
terry l. anderson,property and environment research center,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
theodore b. olson,federalist society for law and public policy studies,washington legal foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
theodore dalrymple,manhattan institute for policy research,opinio,unconvinced of agw,usa,north america,,unknown,unknown,1,1
thierry afschrift,institute for research in economics and fiscal issues,la main invisible,unconvinced of agw,france,europe,unconvinced of agw,france,europe,0,0
thierry afschrift,institute for research in economics and fiscal issues,institut hayek,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,1,0
thierry afschrift,la main invisible,institut hayek,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,1,0
thomas,the right climate stuff,friends of science,unconvinced of agw,usa,north america,unconvinced of agw,canada,north america,1,0
thomas,the right climate stuff,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
thomas,the right climate stuff,initiative for public policy analysis,unconvinced of agw,usa,north america,unconvinced of agw,nigeria,africa,1,1
thomas,the right climate stuff,imani,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,1,1
thomas,friends of science,tobacco institute,unconvinced of agw,canada,north america,,usa,north america,1,0
thomas,friends of science,initiative for public policy analysis,unconvinced of agw,canada,north america,unconvinced of agw,nigeria,africa,1,1
thomas,friends of science,imani,unconvinced of agw,canada,north america,unconvinced of agw,unknown,unknown,1,1
thomas,tobacco institute,initiative for public policy analysis,,usa,north america,unconvinced of agw,nigeria,africa,1,1
thomas,tobacco institute,imani,,usa,north america,unconvinced of agw,unknown,unknown,1,1
thomas,initiative for public policy analysis,imani,unconvinced of agw,nigeria,africa,unconvinced of agw,unknown,unknown,1,1
thomas a. fuentes,claremont institute,phillips foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas dilorenzo,ludwig von mises institute,the property and freedom society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas fleming,ludwig von mises institute,rockford institute,unconvinced of agw,usa,north america,,usa,north america,0,0
thomas g. moore,environmental literacy council,independent commission on environmental education,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas g. west,claremont institute,institute for policy innovation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas j. borelli,free enterprise action fund,national center for public policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas j. dilorenzo,consumer alert,league of the south,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas j. dilorenzo,consumer alert,maryland public policy institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas j. dilorenzo,league of the south,maryland public policy institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas j. pyle,american energy alliance,insitute for energy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas knudsen,citizens for a sound economy,freedomworks,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas l. phillips,claremont institute,phillips foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas l. phillips,claremont institute,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
thomas l. phillips,phillips foundation,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
thomas s. winter,american conservative union,the american conservative union foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
thomas straubhaar,berlin manhattan institut für unternehmerische freiheit e.v.,initiative neue soziale marktwirtschaft,unconvinced of agw,germany,europe,,germany,europe,0,0
thompson ayodele,the national leadership network of black conservatives,initiative for public policy analysis,unconvinced of agw,usa,north america,unconvinced of agw,nigeria,africa,1,1
tibor r. machan,virginia institute for public policy,liberty institute,unconvinced of agw,usa,north america,unconvinced of agw,india,asia,1,1
tim ball,the galileo movement,clexit,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
tim ball,the galileo movement,friends of science,unconvinced of agw,australia,oceania,unconvinced of agw,canada,north america,1,1
tim ball,the galileo movement,frontier centre for public policy,unconvinced of agw,australia,oceania,unconvinced of agw,canada,north america,1,1
tim ball,clexit,friends of science,unconvinced of agw,usa,north america,unconvinced of agw,canada,north america,1,0
tim ball,clexit,frontier centre for public policy,unconvinced of agw,usa,north america,unconvinced of agw,canada,north america,1,0
tim ball,friends of science,frontier centre for public policy,unconvinced of agw,canada,north america,unconvinced of agw,canada,north america,0,0
tim congdon,international council for capital formation,bruges group,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
tim congdon,international council for capital formation,institute of economic affairs,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
tim congdon,international council for capital formation,the freedom association,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
tim congdon,international council for capital formation,civitas,unconvinced of agw,usa,north america,,uk,europe,1,1
tim congdon,bruges group,institute of economic affairs,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
tim congdon,bruges group,the freedom association,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
tim congdon,bruges group,civitas,unconvinced of agw,uk,europe,,uk,europe,0,0
tim congdon,institute of economic affairs,the freedom association,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
tim congdon,institute of economic affairs,civitas,unconvinced of agw,uk,europe,,uk,europe,0,0
tim congdon,the freedom association,civitas,unconvinced of agw,uk,europe,,uk,europe,0,0
tim evans,the cobden centre,the libertarian alliance,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
tim evans,the cobden centre,economic policy centre,unconvinced of agw,uk,europe,,uk,europe,0,0
tim evans,the cobden centre,liberty league,unconvinced of agw,uk,europe,,uk,europe,0,0
tim evans,the cobden centre,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
tim evans,the libertarian alliance,economic policy centre,unconvinced of agw,uk,europe,,uk,europe,0,0
tim evans,the libertarian alliance,liberty league,unconvinced of agw,uk,europe,,uk,europe,0,0
tim evans,the libertarian alliance,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
tim evans,economic policy centre,liberty league,,uk,europe,,uk,europe,0,0
tim evans,economic policy centre,mont pelerin society,,uk,europe,,global,global,1,1
tim evans,liberty league,mont pelerin society,,uk,europe,,global,global,1,1
timothy dionisopoulos,campus reform,leadership institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
todd j. zywicki,federalist society for law and public policy studies,institute for humane studies,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
todd j. zywicki,federalist society for law and public policy studies,calvert institute for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
todd j. zywicki,institute for humane studies,calvert institute for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
todd myers,american tradition institute,washington policy center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
todd shepherd,independence institute,liberty on the rocks,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
todd zywicki,foundation for research on economics and the environment,goldwater institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
todd zywicki,foundation for research on economics and the environment,bill of rights institute,unconvinced of agw,usa,north america,,usa,north america,0,0
todd zywicki,goldwater institute,bill of rights institute,unconvinced of agw,usa,north america,,usa,north america,0,0
tom g. palmer,niskanen center,institute for economic studies,convinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
tom g. palmer,niskanen center,berlin manhattan institut für unternehmerische freiheit e.v.,convinced of agw,usa,north america,unconvinced of agw,germany,europe,1,1
tom g. palmer,institute for economic studies,berlin manhattan institut für unternehmerische freiheit e.v.,unconvinced of agw,france,europe,unconvinced of agw,germany,europe,1,0
tom harris,apco worldwide,friends of science,unconvinced of agw,usa,north america,unconvinced of agw,canada,north america,1,0
tom mcdonnell,"environmental conservation organization, inc.",freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
tom mcdonnell,"environmental conservation organization, inc.",sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
